,posts,company,type
0," According to our annual Shop Small Research for Singapore, while over 70% of businesses in Singapore expect their annual revenue to recover to pre-pandemic levels, they still face a myriad of challenges – with increasing costs overtaking the pandemic as the top challenge in 2022. Read more about our Shop Small Research for Singapore at amex.co/3QaBtpC#ShopSmallSG ",American Express,innovative
1," Weitian Chan, second generation owner of Presto Drycleaners, is disrupting the local laundry industry by introducing tech and more efficient processes inspired by his previous experience as a tech start-up founder. Learn more about 2022 business and consumer sentiment from our Shop Small Research for Singapore at amex.co/3QaBtpC and join us in backing local businesses at https://lnkd.in/enjEhnVT.  #ShopSmallSG",American Express,innovative
2," Local businesses play a huge role in the lives of Singapore consumers – 9 in 10 surveyed shop local, especially in the neighbourhoods where they live and work.In turn, 77% of businesses surveyed said that they are motivated by local community support – the highest we’ve ever seen in our research in 3 years. Learn more at amex.co/3QaBtpC#ShopSmallSG ",American Express,innovative
3," Lawrence Chow, founder of bicycle shop B-Spokes, shows us what can happen when you take a leap of faith and pursue your passion.Learn more about 2022 business and consumer sentiment from our Shop Small Research for Singapore at amex.co/3QaBtpC and join us in backing local businesses at https://lnkd.in/enjEhnVT.  #ShopSmallSG",American Express,innovative
4," We want to give a shoutout to our customers, who helped us secure the highest ranking in the J.D. Power 2022 U.S. Credit Card Satisfaction Study among national credit card issuers for the third year in a row. It is truly a privilege to serve you. Our ranking is a testament to our talented and dedicated #TeamAmex colleagues, who work every day to powerfully back our customers and bring to life American Express Membership. Read about how we are focused on delivering the best customer experience here. go.amex/SqbddZ #JDPower",American Express,innovative
5," In a wide-ranging interview with Human Resource Executive, our Chief Colleague Experience Officer, Monique Herena discusses the career path she would have taken if she hadn’t pursued human resources, her biggest influences, and #TeamAmex’s vision for the colleague experience.  She says, “We pride ourselves on offering a compelling colleague value proposition that includes meaningful work and many opportunities to grow throughout their career, a flexible and inclusive culture with a strong sense of belonging, and competitive pay and benefits to support their holistic wellbeing—their mental, physical and financial health. At its core, our value proposition places our colleagues at the center of everything we do.” https://lnkd.in/ezKhyZT6",American Express,innovative
6," Amex Flex, American Express’ new working model, provides colleagues more flexibility to manage their professional and personal lives with options to work at home, in the office, or take a hybrid approach that combines both. #TeamAmex colleague Courtney Dyce became a first-time mom at the beginning of the COVID-19 pandemic. After spending six months bonding with her daughter on paid parental leave, she returned to work. Watch as she discusses her experience and how Amex Flex has helped her to balance being present for her daughter while pursuing her career aspirations. Read more about Courtney’s journey here: http://go.amex/hnCBPm",American Express,innovative
7," Amex Flex, American Express’ new way of working, is garnering strong satisfaction rates among our colleagues, according to recent surveys we conducted of our colleagues in both the US and UK. With Amex Flex, colleagues can work at home, in the office, or take a hybrid approach that combines both. Months into the launch of our new work model, 90% of respondents say they are very satisfied or satisfied with Amex Flex, and 87% of respondents feel supported in their career development. “We are encouraged to see that Amex Flex is having such a positive impact on our colleagues’ lives, both personally and professionally,” says Monique Herena, Chief Colleague Experience Officer. “Across the survey results, it was clear that colleagues value our flexible culture and the support and tools available to help them grow their careers no matter where they’re working from.” Learn more: https://lnkd.in/ezpkRM7r",American Express,innovative
8," We’re live from the 10th annual Business Class LIVE event at New York City’s Javits Center for a conversation with Maria Duenas Jacobs of Super Smalls. Business Class LIVE brings together small business owners to engage in interactive panels and workshops, and discuss important topics ranging from cashflow management, marketing strategies and contracting opportunities to wellness in the workplace, and more. Leave your questions for Maria in the comments.",American Express,innovative
9," We welcomed our colleagues back to the Singapore office last week with a full day of activities. The energy in the office was simply buzzing, as #TeamAmex caught up with one another in person over food and coffee. Our new way of working, Amex Flex, backs our colleagues with the flexibility to work in the office, at home, or a hybrid approach that combines both. Find out more at http://amex.co/3CWOz4q ",American Express,innovative
