,headline,date,year exp,score,pros,cons,company,position,raw_reviews,Introvert_Extrovert,Intuition_Sensing,Thinking_Feeling,Judging_Perceiving,Innovative_Traditional,Personality,reviews,emotions,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,is_exclusive,is_open,exclusive_openness
0,Great company to work,2022-09-08,"Current Employee, less than 1 year",5,"Great Benefit, no 996, good working environment",sometimes the communication still in Chinese but overall in English,TikTok, Anonymous Employee,"Great Benefit, no 996, good working environmentsometimes the communication still in Chinese but overall in English",Extrovert,Sensing,Feeling,Judging,traditional,ESJF,great benefit 996 good working environmentsometimes communication still chinese overall english,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
1,Good but not great. Self driven is a must,2022-09-08,"Current Employee, more than 1 year",4,Good benefits and fast growing,Need to be very self driven and street smart,TikTok, Business Operations Analyst,Good benefits and fast growingNeed to be very self driven and street smart,Extrovert,Sensing,Thinking,Judging,innovative,ESJT,good benefits fast growingneed self driven street smart,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
2,"A fast growing, diverse and inclusive workplace",2022-09-07,Current Employee,5,"- Great emphasis on staff well being
- Regular engagement sessions with management 
- Great staff benefits and welfare
- Collaborative and inclusive work environment
- Good internal opportunities",- Infrastructure can be further improved (Facilities),TikTok, Anonymous Employee,"- Great emphasis on staff well being
- Regular engagement sessions with management 
- Great staff benefits and welfare
- Collaborative and inclusive work environment
- Good internal opportunities- Infrastructure can be further improved (Facilities)",Extrovert,Sensing,Thinking,Judging,traditional,ESJT, great emphasis staff well  regular engagement sessions management  great staff benefits welfare  collaborative inclusive work environment  good internal opportunities infrastructure improved facilities,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",3,0,0,1,0,0,1,0,1,1,0,3,Open
3,PM,2022-08-29,Current Employee,5,Good Atmosphere and excellent teamwork,So far so good and nothing special to mention,TikTok, Product Designer,Good Atmosphere and excellent teamworkSo far so good and nothing special to mention,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,good atmosphere excellent teamworkso far good nothing special mention,"{'Positive': 4, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 4, 'Sadness': 0, 'Surprise': 3, 'Trust': 3}",4,0,0,3,0,0,4,0,3,3,0,10,Open
4,Nice for u if you like coop with young people,2022-08-21,"Current Employee, more than 1 year",4,"the company is filled with young people, very energetic!
they use latest tech, both BE and FE or algo","Might need to OT when you oncall
some bosses (not my team) are not so clever and will push you to do things even not reasonable",TikTok, Quality Assurance Engineer,"the company is filled with young people, very energetic!
they use latest tech, both BE and FE or algoMight need to OT when you oncall
some bosses (not my team) are not so clever and will push you to do things even not reasonable",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,company filled young people energetic use latest tech fe algomight need ot oncall bosses not team clever push things even reasonable,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",3,0,0,1,0,0,1,0,1,2,0,4,Open
5,Excellent Work Culture,2022-08-19,"Current Employee, less than 1 year",5,"Wonderful colleagues 
Lots to learn
Great mentor",None. Can’t think of any.,TikTok, Emergency Response,"Wonderful colleagues 
Lots to learn
Great mentorNone. Can’t think of any.",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,wonderful colleagues lots learn great mentornone cant think any,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
6,Its ok meh,2022-08-31,"Current Employee, less than 1 year",3,"V new, hr v new. Chaotic as expected in a newer company, find answers yourself. Dont come in w expectations of a mature compamy. It is okay though.",Can be annoying when nobody has answers or there is no action taken to key problems.,TikTok, APM,"V new, hr v new. Chaotic as expected in a newer company, find answers yourself. Dont come in w expectations of a mature compamy. It is okay though.Can be annoying when nobody has answers or there is no action taken to key problems.",Extrovert,Sensing,Thinking,Judging,traditional,ESJT,v new hr v new chaotic expected newer company find answers yourself dont come w expectations mature compamy okay thoughcan annoying nobody answers action taken key problems,"{'Positive': 3, 'Negative': 3, 'Anger': 2, 'Anticipation': 2, 'Disgust': 1, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 2, 'Trust': 2}",3,3,2,2,1,1,0,1,2,2,4,4,Open
7,996 is not a myth,2022-08-27,Former Employee,3,good name to have in CV and you’re part of the biggest platform at the moment which counts for something,Not a place to be if you care for mental health or work life balance.,TikTok, Partnerships Manager,good name to have in CV and you’re part of the biggest platform at the moment which counts for somethingNot a place to be if you care for mental health or work life balance.,Extrovert,Sensing,Feeling,Judging,traditional,ESJF,good name cv youre part biggest platform moment counts somethingnot place care mental health work life balance,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",2,0,0,1,0,0,1,0,1,2,0,4,Open
8,Good company to work,2022-08-01,Current Employee,5,"Good WLB and salary in SG
Fast growing business 
Culture is becoming diverse","Legacy code hard to maintain 
Team is growing fast",TikTok, Software Engineer,"Good WLB and salary in SG
Fast growing business 
Culture is becoming diverseLegacy code hard to maintain 
Team is growing fast",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,good wlb salary sg fast growing business culture becoming diverselegacy code hard maintain team growing fast,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 1, 'Trust': 4}",3,0,0,3,0,0,3,0,1,4,0,10,Open
9,Experience at TikTok,2022-08-16,Current Employee,3,"Eye-opening, exposure to working with many different cross-functional teams and people of different background","fast paced, cut throat speed, tough working culture",TikTok, Anonymous Employee,"Eye-opening, exposure to working with many different cross-functional teams and people of different backgroundfast paced, cut throat speed, tough working culture",Introvert,Sensing,Thinking,Judging,innovative,ISJT,eyeopening exposure working many different crossfunctional teams people different backgroundfast paced cut throat speed tough working culture,"{'Positive': 0, 'Negative': 1, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 1}",0,1,0,0,0,0,0,1,0,1,0,1,Open
10,Lovely place,2022-07-26,Current Employee,5,"Great colleagues, great culture, great perks",Language barrier as a lot of colleagues are more comfortable with Chinese,TikTok, Software Engineer,"Great colleagues, great culture, great perksLanguage barrier as a lot of colleagues are more comfortable with Chinese",Extrovert,Intuition,Feeling,Judging,innovative,ENJF,great colleagues great culture great perkslanguage barrier lot colleagues comfortable chinese,"{'Positive': 1, 'Negative': 1, 'Anger': 1, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,1,1,1,0,0,1,0,0,1,1,3,Open
11,Great company!,2022-07-26,"Current Employee, more than 1 year",5,Good benefits and great co-workers in a cross-functional team.,Start up environment so there are a lot of processes that still needs to be worked on.,TikTok, Technical Product Specialist,Good benefits and great co-workers in a cross-functional team.Start up environment so there are a lot of processes that still needs to be worked on.,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,good benefits great coworkers crossfunctional teamstart environment lot processes still needs worked on,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",3,0,0,1,0,0,1,0,1,1,0,3,Open
12,Fine Company,2022-07-17,Current Employee,4,The scale of the company can provide you with a good platform with enough internal technical support.,"Unfriendly environment for non-Chinese speakers, as most tech doc and it’s communication language is chiefly Chinese.",TikTok, Software Engineer,"The scale of the company can provide you with a good platform with enough internal technical support.Unfriendly environment for non-Chinese speakers, as most tech doc and it’s communication language is chiefly Chinese.",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,scale company provide good platform enough internal technical supportunfriendly environment nonchinese speakers tech doc its communication language chiefly chinese,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
