,date,content,reactions count,comments count,shares count,comments,username,job title
0,3 weeks ago," We were delighted to host Senior Minister of State Kiat How Tan to the #ByteDance Singapore office! SMS Tan met with our very own ByteDance tech talents and had an engaging discussion on ideas to develop local tech talent and grow the sector. Singapore is a key global node for ByteDance in our mission to inspire creativity and enrich life. We are excited to continue supporting the growth of the digital ecosystem in this dynamic region!  Growing up in a multiracial and multicultural country, Singaporeans are often better able to work in teams with people from different races and nationalities. This cultural adaptability has attracted multinational companies like ByteDance, which is the parent company of the popular TikTok platform to set up their key global node here. Had a good chat with the ByteDance tech talents on Monday, where we had a lively discussion on how we can better groom our local talents, and grow the digital ecosystem. I was glad to know that amid ByteDance’s rapid expansion, there is a strong and dynamic Singaporean core at their office. It’s definitely an exciting time to be in the tech sector. I look forward to meeting more of our tech talents and get their views on how we can better grow this sector.",79,1,0,{'comment1': 'Cong Zhao looking awesome!'},"{'username1': 'Patricia Yang, HRBP'}","{'job_title1': 'Chief People Ambassador Trusted to Build and Expand, From 0 to 1 #OrdinaryMind #AlwaysDay1'}"
1,2 months ago," Our collaboration tool Lark was started with the aim of creating a solution that could provide a fully integrated work experience for smoother communication. With chats, meetings, calendars, docs, and emails all in one platform, Lark aims to help teams do their best work together.We're hiring for numerous positions across the globe, check out opportunities at Lark here: https://lnkd.in/gQ4NZxiv#hiring",1,48,65,"{'comment1': 'Lol, 90% of the “positive” comments here are from employees. 🤔I tried using it about 2 years ago on MacOS and I wouldn’t say it was a good experience at all. It was buggy to even start with 😰', 'comment2': ""I've always struggled communicating with our entire organization under a single app in the past years. Trying Lark for the last 8 months have made everything work, it's our go to app now for a 1000+ workforce even for personal communication matters."", 'comment3': 'Since I started using it a month ago after joining the company, I am totally amazed by how efficient, effective and user friendly it is vs MS Team and Outlook for communication. On top of it, its really fun especially with emoji/reactions to messages! Lastly, onboarding is done through Lark which greatly reduces all the efforts needed for accessing multiple systems to get everything you need done - although the user guide could be improved to make some steps clearer :)', 'comment4': 'Really agree, it will be a really helpful app for work. Combines chats, video meetings, docs and so many helpful features. Yet, still needs a lot of improvements. ', 'comment5': ""Lark is the most user friendly workplace tool I have ever used. It's an industry changer."", 'comment6': 'Hello respected madam can you please help me somehow... I am an artist named NOIZY BROTHERS my song is very viral on tiktok. It has over 2.5million videos created using my song. But unfortunately as you know tiktok is not working in INDIA hence i am  not able to claim the song as i am the artist ... Could you somehow help me? This is my email noizybrothers10@gmail.com ', 'comment7': '继续期待！', 'comment8': ""I'm interested"", 'comment9': 'Sarah Wang live, laugh, lark', 'comment10': 'What I miss most about working at TikTok', 'comment11': ""I'm interested"", 'comment12': ""I'm interested"", 'comment13': 'Welcome Lark! ', 'comment14': 'Mashup Branding https://www.youtube.com/watch?v=0EFRTyonBn0', 'comment15': 'https://anchor.fm/doshanay-boochee/episodes/Choose-your-Happiness-e1iig6bhttps://anchor.fm/doshanay-boochee/episodes/Bae-e1ihcjn #instagood #intagramreels #podcasting #inspiration #instadaily #blackexcellence #instawedding #inspiring #podcastlife #podcastproduction #levelingup #Levels #leveledup #motherhood #mother #diy #dontstop #dontgiveup #challenge', 'comment16': 'Now that I’ve worked with lark I honestly don’t know how I could ever go back to other tools without feeling frustrated. The ability to have everything I need in one space has changed the way I work for the better!!', 'comment17': 'A great platform to communicate among the organisation. ByteDance', 'comment18': 'Based on my experience, Lark is a practical, secure and a professional app👏', 'comment19': 'I miss the times working on Lark.I feel annoying for log in every 14days on PC version.', 'comment20': 'It’s quite amazing what Lark has become. Miles ahead of Slack or Teams', 'comment21': 'Best internal comm system I ever had, seen and used. Lark is #1 in its field. Great job Lark! Go Bytedance', 'comment22': 'Is it like Teams or?', 'comment23': 'I like lark, we use it everyday :) I recommend !', 'comment24': 'I can no longer imagine what it would be like to work without Lark ^^Absolutely in love with this tool', 'comment25': 'This software is so much better than any I’ve used in previous companies. I honestly can only say great things about Lark 👏', 'comment26': 'This is an incredibly efficient tool. Bright future ahead', 'comment27': 'Love Lark! <3', 'comment28': ""Totally amazing, can't imagine using any other app for professional team work"", 'comment29': 'Can confirm emojis are great. But the 4th emoji is my favourite. iOS should integrate it to their keyboard 🌚', 'comment30': 'Best platform I’ve used in my career, and I’ve used them all!', 'comment31': 'Word of caution, constant use of Lark emoji can get addictive. [Lol]', 'comment32': ""I'm interested!!"", 'comment33': 'Best corporate tool I’ve ever used. So slick and convenient. All your work in one place.\xa0', 'comment34': 'People should know more about Lark, it is better than Teams...but i like Ding too 😊', 'comment35': 'We all miss lark', 'comment36': 'That first emoji is indeed one of my most used 😂', 'comment37': 'Lark is one of the best ByteDance tool i have used so far.', 'comment38': 'Go Lark !', 'comment39': 'Love Lark!!', 'comment40': 'Excellent product!', 'comment41': 'Amo o Lark!', 'comment42': 'Can confirm. Lark is dope.', 'comment43': 'Excellent solution!', 'comment44': 'Interested to join!', 'comment45': 'I miss Lark! 💔', 'comment46': 'I miss working on Lark'}","{'username1': 'Jimmy C.', 'username2': 'Ian Madrid', 'username3': 'Wesley Tan', 'username4': 'Muhammad Afif', 'username5': 'Victoria Dobbie', 'username6': 'Rohan Shiralkar', 'username7': 'Hongjie Wang', 'username8': 'Subhra Biswas', 'username9': 'Lachlan Ma 🛸', 'username10': 'Sarah Wang', 'username11': 'neeraj tiwari', 'username12': 'Saurabh D.', 'username13': 'Afroza Akhi', 'username14': 'Johnny Mango', 'username15': 'Doshanay Boochee', 'username16': 'Vanessa G.', 'username17': 'Sri Ganeesh Kovalan', 'username18': 'MOHAMED EL GHAZY', 'username19': 'YE KO KO HTET -', 'username20': 'Ankur Tripathi', 'username21': 'Mikael Rådö', 'username22': 'Michael Spencer', 'username23': 'Lakshminarayanan Vijayaraghavan', 'username24': 'Jan Schöneberger', 'username25': 'Clodagh Graham 🇮🇪', 'username26': 'Guillermo de la Hera Casado', 'username27': 'Matthew H.', 'username28': 'Zaineb A. Kareem', 'username29': 'Ying Kai Ng', 'username30': 'David K.', 'username31': 'Victor L.', 'username32': 'Zakhary Kwik', 'username33': 'Artur Stepanov', 'username34': 'Elisa Toshie Saito', 'username35': 'Niladri Shankar Roy', 'username36': 'Clarice Sheng', 'username37': 'Tanmay Wagh', 'username38': 'Max Zhong (he/him/his)', 'username39': 'Alice Espeschit Dayrell', 'username40': 'Jonathan Lopez 罗志成', 'username41': 'Denise Couvre', 'username42': 'Alicia Wagoner', 'username43': 'Daniela Rodriguez Balcazar', 'username44': 'Amit Singh', 'username45': 'Swapni Mehta', 'username46': 'Joy Sahoo'}","{'job_title1': 'Ex-Unicorns | Regional Marketing | Partnership', 'job_title2': 'Founder at Texxen | Web3, Blockchain and BPO in the Philippines', 'job_title3': 'Digital Payment Product Leader (card/e-wallet/gateway/cross-border/acquiring/POS/QR/NFC) | PMP & SAFe PO/PM Certified | Ex-Visa/Worldpay/NETS/SingTel/StarHub/M1', 'job_title4': 'Bachelor of International Relations of Andalas University', 'job_title5': 'Client Solutions Manager @TikTok - DACH & NL', 'job_title6': '--', 'job_title7': 'Tecnocampus', 'job_title8': 'Associate Analyst at Vaco Binary Semantics LLP', 'job_title9': 'Talent Acquisition @ TikTok', 'job_title10': 'Product Marketing Manager Intern at Microsoft | Bruin Ambassador at UCLA Undergraduate Admission', 'job_title11': 'content modrater', 'job_title12': 'Lead Tech Support, RHCSA Certified, IT Service Management, Vendor Management, ITIL V4 certified', 'job_title13': 'Major Incident Manager at Nike', 'job_title14': 'Online Branding', 'job_title15': '--', 'job_title16': 'Art Director - DEI Activist - Entrepreneur', 'job_title17': 'Content Moderator, Advisor', 'job_title18': 'Quality Analyst (QA) at Majorel Africa', 'job_title19': 'Seeking opportunity in Financial Field', 'job_title20': 'Writing, designing and storytelling content to amplify brands, pitch ideas, create learnings, and up-skill talent', 'job_title21': 'Agency Partnerships Manager at TikTok', 'job_title22': 'Indie Writer #1 Machine Learning Newsletter AiSupremacy | Tap the 🔔 on my profile', 'job_title23': 'Software Engineer at ByteDance/Tiktok', 'job_title24': 'Client Solutions Manager @TikTok | Finance & Insurance (DACH & NL)', 'job_title25': 'UK Trending Search Specialist at ✨TikTok✨', 'job_title26': 'Product Analytics - METAP at TikTok', 'job_title27': 'LTK Client Partner, Ex-TikTok, Influencer Advisor for DTC Brands, Creator Marketing, Sports, Mentor ✨', 'job_title28': 'Translator & Interpreter (English-Arabic) MA in Translation Theories | Lecturer | Researcher | Social Media Manager', 'job_title29': 'Quality Assurance Engineer at ByteDance (TikTok)', 'job_title30': 'Hiring - Global Infrastructure Engineering and Operations Leader at ByteDance | TikTok (ex MSFT, GDDY, NOW)', 'job_title31': 'Fraud & Risk Specialist | Quality Assurance (Trust and Safety- Market Specialist)', 'job_title32': 'Graduate trainee in UBS SUPER 2022', 'job_title33': 'Head of TikTok Live in Eastern Europe', 'job_title34': 'Marketing │ Branding │ LiveShopping │ Digital Inovation Extensive strategy experience in kids, premium and geek market.', 'job_title35': 'Video Creative Lead - Josh App (Verse) | Ex- Times Internet, ByteDance, TVF | Entertainment | Content | Creative |', 'job_title36': 'Powering the Creator Economy', 'job_title37': 'Software Engineer at ByteDance/Tiktok', 'job_title38': 'Certified CSM｜SaaS | Diversity and Inclusion Advocate', 'job_title39': 'Procurement Manager at ByteDance / TikTok - Latam', 'job_title40': 'TikTok LATAM at ByteDance 字节跳动 I Schwarzman Scholar, Tsinghua MSc 清华大学苏世民书院 I McGill BA', 'job_title41': 'Quality Latam Manager - Monetization Integrity', 'job_title42': 'HR Generalist at TikTok // ByteDance 🎶', 'job_title43': 'Strategic Sales Manager - SMB at TikTok', 'job_title44': 'Hindi Content Specialist at Inshorts', 'job_title45': 'Employer Branding & Recruitment Marketing at CrowdRiff || ex-Capgemini, TikTok', 'job_title46': 'Revenue Driven Storyteller | ISB'}"
2,1 month ago," Hey engineers, are you preparing for your technical #interviews at #bytedance ?🤔Then make sure you don’t miss out on this advice from our colleagues in the ByteDance #singapore office! In this video, they share some tips and advice on how to ace your interviews from their own experiences! 📝 #codinginterview #interviewtips Our technology teams keep growing! Join us in our mission to inspire creativity and enrich life. Check out our open roles here 👨‍💻:https://lnkd.in/eCrksTky---Do you want to watch more ByteDance videos? ▶️ https://lnkd.in/eibJmy4N",311,5,35,"{'comment1': 'Interested', 'comment2': 'Very informative guide!', 'comment3': 'Would love to see remote positions.', 'comment4': 'Great opportunity', 'comment5': 'This is such a good method of helping potential candidates prepare!'}","{'username1': 'Bibhakar Rai', 'username2': 'Vin W.', 'username3': 'Patricia Chang, MPM', 'username4': 'Symoon Zadid', 'username5': 'Shreyas Choubey'}","{'job_title1': 'Academic Researcher at Ways2excel', 'job_title2': 'Seasoned Data Science Manager', 'job_title3': 'Master Project Manager, PPM Leader', 'job_title4': 'Associate Software Engineer at Brain Station 23 | iOS | Problem Solver | Competitive Programmer', 'job_title5': 'Computer Science @ University of Minnesota | Seeking Full Time Software Engineering role | C#/C++, Python, JS, Java | 2022 Grad'}"
3,1 month ago," Recently, we put our ByteDancers from Japan in the hot seat and asked them some difficult questions on everyone's minds. What is our culture like, and how do we work together?-----Check out the last two videos of our Tokyo edition of Ask ByteDancers Anything - what is it really like to work here?⏩ How we work together: http://ms.spr.ly/6188b9bUE⏩ Our culture: http://ms.spr.ly/6189b9bU1",320,3,11,{},{},{}
4,7 months ago," On the first day of 2022, we want to say thank you to all the ByteDancers around the world who are blazing a new trail together. We're proud to have each and every one of you on our team.  As we reflect on 2021 and celebrate what we've achieved, we're excited and humbled to know that we are still in the early chapters of our story, and it's up to us to determine what will be written on the pages.  Happy New Year, and just as our New Year gift box says, here's to #MuchMoreToCome in 2022!#ByteDance #NewYear",1,19,28,{},{},{}
5,3 months ago," From kittens to fish and everything in between, check out some of the sweet messages and favorite memories ByteDancers have shared with their pets!We love our furry work-from-home co-workers as they continue to motivate us when we need it most.This National Pet Day share your favorite WFH experience with your little companions in the comments below.#ByteDance #NationalPetDay #Coworkers",279,1,3,{'comment1': 'ByteDance For Head of Internal Audit position:https://www.linkedin.com/in/ranilwellalage'},"{'username1': 'RANIL WELLALAGE. MBA(UK), ACMA(UK), CPA(AU), CGMA(US)'}",{'job_title1': 'Internal Control and Compliance Specialist - South East Asia at Microsoft'}
6,6 months ago," At ByteDance, our mission is to inspire creativity and enrich life. We believe that every spark of inspiration is worth the spotlight. For our 2021 Global Employee Photography Contest, we set up a new special category FREESTYLE to let ideas run free and turn up creativity to 100%. We hope you enjoy these stunning moments as much as we do!Credit goes to the following ByteDancers:Pratapraj Nadar - ""Charcoal Colourspace"" (top)Akshay Sharma - ""The Hive"" (bottom left)Shen Hao - ""The Blooming Sky"" (bottom center)Marika Tedroff - ""3 Lockdowns, 3 Film Rolls"" (bottom right)#photography #ByteDance #creativity #inspiration",703,5,16,"{'comment1': 'Warren, I hope you submitted your entry as well😉!', 'comment2': 'haha thanks buddy! I submitted my entry for the Public Welfare category: https://www.linkedin.com/posts/bytedance_photography-bytedance-portrait-activity-6892285040483807232-6cfT', 'comment3': 'Well deserved win Akshay Sharma', 'comment4': 'Thanks Alviss 🙏🙏', 'comment5': 'Continue to inspire and bring creative forward via your platform of apps! ByteDance TikTok'}","{'username1': 'Nishant Gaurav', 'username2': 'Warren Liew', 'username3': 'Alviss Phua', 'username4': 'Akshay Sharma', 'username5': 'Raúl M.'}","{'job_title1': 'Building Fintech Infra for Indonesia through APIs | Open Banking | xBytedance | Bengaluru < > Jakarta', 'job_title2': 'Helping businesses grow with AI and machine learning solutions at ByteDance', 'job_title3': 'Strat and Product Ops, GrabGifts / Grab for Business', 'job_title4': 'ByteDance | Ex-Flipkart | Ex-Lazada', 'job_title5': '👋🏽 Diverse Business Athlete | Customer-Champion | Unlocking Impact with Grit & Creativity❣️'}"
7,6 months ago," For our 2021 Employee Photography Contest, we asked ByteDancers around the world to capture unique characters, their expressions, their communities, and the thousands of stories that lie behind them and their cultures. Despite the isolation and challenges we've experienced over the past years, we all find ways to communicate and exhibit compassion and affection.Credit goes to the following ByteDancers:Jinpeng Guo - ""Dragon"" (top left)Luara Gotis - ""Kálon"" (top right)Warren Liew - ""He Shoots Portraits For Love"" (bottom left)Pratapraj Nadar - ""Child's Innocence"" (bottom center)Jiarong Fan - ""Stay Behind"" (bottom right)#photography #ByteDance #portrait #humanity",917,9,12,"{'comment1': 'Fantastic Shots!', 'comment2': 'Fantastic! 😍', 'comment3': 'Luara M Ferri Gotis 😍😍😍😍', 'comment4': 'Eu nem tinha visto! Amei 💕', 'comment5': 'Beautiful!', 'comment6': '✨📷 Way to capture and bring creativity to life! 👀✨ ByteDance', 'comment7': ""What a beautiful looking community. That's awesome of the person who took these shots. Who would've wondered taking simple mundane scenes would look this fascinating."", 'comment8': 'awesome picture', 'comment9': 'Nice pics 🥰'}","{'username1': 'Nishtha Pathak', 'username2': 'Ana Flávia Moraes', 'username3': 'Ingride N.', 'username4': 'Luara M Ferri Gotis', 'username5': 'Zoe Y.', 'username6': 'Raúl M.', 'username7': 'Ada Crisostomo', 'username8': 'Andre Koo', 'username9': 'Huyen Vu'}","{'job_title1': 'Creators, Brands and Synergies.', 'job_title2': 'Product Support Technical Analyst | Accenture', 'job_title3': 'Music Content & Talent Development at TikTok', 'job_title4': 'Music Operations @ TikTok', 'job_title5': 'National Account Manager at Chubb Fire & Security Group', 'job_title6': '👋🏽 Diverse Business Athlete | Customer-Champion | Unlocking Impact with Grit & Creativity❣️', 'job_title7': 'Construction Consultant at ADA Construction Consulting ✅Construction cost ✅Consultancy ✅Infrastructure ✅Engineering', 'job_title8': 'Experienced Global Marketing Director | Leadership +Strategy + Brand + Digital + Data + Transformation + Innovation | Global + Asia Pacific', 'job_title9': 'Recruitment Consultant (Blockchain, Java, Automation tester…)'}"
8,5 months ago, Here are the ladies who are breaking the bias! We are proud to introduce our female colleagues at the ByteDance R&D team. 👩💻We asked them a few questions to learn more about the life at ByteDance R&D:✅ Why did they decide to pursue tech careers with ByteDance✅ What do they enjoy most at ByteDance✅ Who are their role models or mentors✅ What type of teammates do they want to work with✅ Tips for women who are interested in joining the tech industryWhich is the most inspiring #BreakTheBias quote for you? Please share your thoughts in the comments.Explore opportunities to be part of this powerful engine! 👉 https://lnkd.in/gNfAetPF #BreakTheBias #IWD2022 #ByteDance #techcareers #WomenInTech,392,6,9,"{'comment1': 'Great job ☺️👍', 'comment2': 'Nice!', 'comment3': 'nice', 'comment4': 'Not only politicians and the press, but also ""socially responsible"" companies will act consistently when ByteDance supports fascist regimes, such as Russia. Regardless, all consumers are ""on alert"" regarding support for the Russian genocide in Ukraine and will make their own decisions.', 'comment5': 'Love seeing the representation!', 'comment6': 'Amazing!'}","{'username1': 'INDERA SHAH', 'username2': 'Farrah Fauzi', 'username3': 'Pankaj Maurya', 'username4': 'Christoph Jores', 'username5': 'Rob W.', 'username6': 'Alvin Naden'}","{'job_title1': 'Co-Owner di Johnkey LLC', 'job_title2': 'Bachelor of Science (Information Technology) | Majoring in Computer Network | Treasurer of UUM Gokart Club | Final Year Student', 'job_title3': 'Data Center Operator', 'job_title4': 'M&A, Carve-out and Post-Merger Integration Interim Management & Consulting', 'job_title5': 'Communications Professional | Journalist | Storyteller', 'job_title6': 'The Talented Marketer - Brand Builder. Market Developer. Storyteller. Strategic Traditional & Digital Campaigner. Personal Branding. Content Creator. Video Crafter. Holistic Thinker. Brand Marketing Consultant.'}"
9,7 months ago," One thing we like to do at ByteDance is share meaningful moments through the lens of ByteDancers globally. From spectacular scenery to touching human connections, ByteDancers around the world submitted 53,000+ inspiring photographs and videos from across 30 countries and regions for our 2021 Global Employee Photography Contest.Over the coming weeks, we'll be sharing some of those moments with you. The photos below capture the unparalleled beauty of Mother Nature and shed light into different corners of our world. Credit goes to the following ByteDancers:Siqi Yang - ""Peak"" (top)Sidi Liu - ""The World's Tallest Forest"" (bottom left)Patricia Campagnare - ""Me and My Boyfriend Enjoying Aquatic Nature"" (bottom center)Simon Boniface - ""Sky of Wonders"" (bottom right)#photography #ByteDance #scenery #mothernature",531,8,6,"{'comment1': 'This tree is too tall', 'comment2': 'Great pictures 🙌', 'comment3': 'Terrible customer service for serious trademark infringements. They wont respond.', 'comment4': 'Some great photos, thanks for posting!', 'comment5': 'Beautiful', 'comment6': 'Wow! Some amazing pictures!', 'comment7': 'Amazing pictures and experiences', 'comment8': 'They missed you Marcella Fagundes Ferrucci :)'}","{'username1': 'Bryan Yu', 'username2': 'Ruairidh McPherson', 'username3': 'Agim Alidemi', 'username4': 'Jenna Fong', 'username5': 'Rithan Vijay', 'username6': 'Rob W.', 'username7': 'Lionel Sim', 'username8': 'Mateus F.'}","{'job_title1': 'Sales Manager - Cytech Systems Limited', 'job_title2': 'copywriting / communications / marketing', 'job_title3': 'Student at AKAD University', 'job_title4': 'Small Business Owners', 'job_title5': 'Business Development Manager | Digital Marketeer | Data Analyst | Music Specialist Publishing/Copyright/Licensing | Events & Campaign Specialist', 'job_title6': 'Communications Professional | Journalist | Storyteller', 'job_title7': 'Global Marketing, Partnerships, Growth, Ecosystem @TikTok | AdAge 40 under 40 | @Apple | @WeChat | @Stanford', 'job_title8': 'Sales Ops Specialist @ Bytedance/TikTok'}"
