,date,year exp,score,pros,cons,position
0,2022-08-20,"Current Employee, less than 1 year",5.0,"flexible working culture, good benefits",limited learning opportunities and unclear career progression,Anonymous Employee
1,2022-08-17,"Former Employee, less than 1 year",5.0,"all people are sooo nice in our team, enjoy working there",so many meetings in our team,Data Analyst
2,2022-08-10,"Former Employee, more than 1 year",5.0,"Good culture, great team and good benefits!","No idea when the company will IPO thus, do not know when we will be able to cash out our stock options.",Manager
3,2022-08-22,"Former Employee, less than 1 year",3.0,"- very fast-paced fintech company, - generous benefits and perks such as SGD 15 daily meal allowance, WFH allowance..., - Lark is by far the most convenient collaborative tool, - can move up or move to another role/ department after 6 months, lots of career opportunities","- zero work-life balance, too many unnecessary night meetings, - too many overlapping or redundant processes within the organization, nothing is aligned /streamlined beforehand, - need to draft many PRD and BRD documents to cater to different business needs., - if your superior is based in the China office, you can hardly enjoy your off days.",Global SOP Enablement
4,2022-08-18,"Current Employee, more than 1 year",4.0,"Good boss, Modern tech tools, Free lunch","Irregular working hours, Excessive workload , Poor middle management",Data Engineer
5,2022-08-16,"Current Employee, less than 1 year",4.0,"- Decent pay, - If right team, don't need to speak Chinese, - No 996 in Singapore team (most people work 40 hours just fine), - Core Engineering projects in SG, interesting tech infrastructure","- Seems to have slow progression, - Culture may be a bit boring, - Company policies, hierarchy not very transparent",Software Engineer
6,2022-08-16,Current Employee,4.0,Very chill vibes. Decent remuneration,Poor guidance. Very to learn things on ur own,Anonymous Employee
7,2022-07-28,Current Employee,5.0,"Good pay, good people, good enviroment",Can feel too fast growing sometimes and feel like a start up,Strategy Consultant
8,2022-06-27,"Current Employee, less than 1 year",5.0,"Good pay, good opportunity to grow, good appreciation,",As for now the cons is WFH. I am the type i am not able to WFH. If there is a choice and chance to fully work at office i definitely choose that,Content Moderator
9,2022-06-27,"Current Employee, more than 1 year",4.0,Convenient location; snacks; decent pay,Organization structure a bit unstructured; opaque career path; no mentoring/training for new hires; documentations mostly in Chinese,SRE Engineer
10,2022-06-27,Current Employee,4.0,"-Good WLB, -Good leaders and stakeholder",-Predominately chinese speaking still. But employees trying their best to be more english speaking,Human Resources
11,2022-06-24,Current Employee,4.0,The team atmosphere is good,The superior's task arrangement is not proper,Head Hunter
12,2022-06-10,"Current Employee, less than 1 year",5.0,"Very effective management and system, motivated to grow far in this company",so far there is no cons,Content Moderator
